glycan_mass,project_name,file_name,spectrum_id,ipc_index
1493,PXD026629,20180904YLJ-VSV4h-02.ipc,4558,0
1493,PXD026629,20180904YLJ-VSV4h-02.ipc,7340,29
1493,PXD026629,20180904YLJ-VSV4h-02.ipc,7414,31
1493,PXD026629,20180904YLJ-VSV4h-02.ipc,8650,42
1493,PXD026629,20180904YLJ-VSV4h-02.ipc,8903,51
682,PXD026629,20180904YLJ-VSV4h-02.ipc,4580,1
682,PXD026629,20180904YLJ-VSV4h-02.ipc,4655,2
682,PXD026629,20180904YLJ-VSV4h-02.ipc,4720,3
682,PXD026629,20180904YLJ-VSV4h-02.ipc,4786,4
682,PXD026629,20180904YLJ-VSV4h-02.ipc,9118,71
2978,PXD026629,20180904YLJ-VSV4h-02.ipc,5714,5
2978,PXD026629,20180904YLJ-VSV4h-02.ipc,5773,7
2978,PXD026629,20180904YLJ-VSV4h-02.ipc,5794,8
2978,PXD026629,20180904YLJ-VSV4h-02.ipc,5839,9
2978,PXD026629,20180904YLJ-VSV4h-02.ipc,5860,10
2157,PXD026629,20180904YLJ-VSV4h-02.ipc,5758,6
2157,PXD026629,20180904YLJ-VSV4h-02.ipc,19414,1037
2157,PXD026629,20180904YLJ-VSV4h-02.ipc,21324,1361
2157,PXD026629,20180904YLJ-VSV4h-02.ipc,21390,1374
2157,PXD026629,20180904YLJ-VSV4h-02.ipc,21811,1421
1152,PXD026629,20180904YLJ-VSV4h-02.ipc,6509,13
1152,PXD026629,20180904YLJ-VSV4h-02.ipc,9098,69
1152,PXD026629,20180904YLJ-VSV4h-02.ipc,10125,101
1152,PXD026629,20180904YLJ-VSV4h-02.ipc,10200,102
1152,PXD026629,20180904YLJ-VSV4h-02.ipc,11327,149
1817,PXD026629,20180904YLJ-VSV4h-02.ipc,6884,14
1817,PXD026629,20180904YLJ-VSV4h-02.ipc,6896,15
1817,PXD026629,20180904YLJ-VSV4h-02.ipc,6958,18
1817,PXD026629,20180904YLJ-VSV4h-02.ipc,7096,23
1817,PXD026629,20180904YLJ-VSV4h-02.ipc,7123,25
1979,PXD026629,20180904YLJ-VSV4h-02.ipc,6948,16
1979,PXD026629,20180904YLJ-VSV4h-02.ipc,6957,17
1979,PXD026629,20180904YLJ-VSV4h-02.ipc,7021,19
1979,PXD026629,20180904YLJ-VSV4h-02.ipc,7032,20
1979,PXD026629,20180904YLJ-VSV4h-02.ipc,7088,22
1655,PXD026629,20180904YLJ-VSV4h-02.ipc,7067,21
1655,PXD026629,20180904YLJ-VSV4h-02.ipc,8453,35
1655,PXD026629,20180904YLJ-VSV4h-02.ipc,8530,37
1655,PXD026629,20180904YLJ-VSV4h-02.ipc,8642,41
1655,PXD026629,20180904YLJ-VSV4h-02.ipc,8672,43
1330,PXD026629,20180904YLJ-VSV4h-02.ipc,8935,56
1330,PXD026629,20180904YLJ-VSV4h-02.ipc,8964,59
1330,PXD026629,20180904YLJ-VSV4h-02.ipc,9079,67
1330,PXD026629,20180904YLJ-VSV4h-02.ipc,9099,70
1330,PXD026629,20180904YLJ-VSV4h-02.ipc,9167,74
1995,PXD026629,20180904YLJ-VSV4h-02.ipc,9088,68
1995,PXD026629,20180904YLJ-VSV4h-02.ipc,12063,180
1995,PXD026629,20180904YLJ-VSV4h-02.ipc,12575,202
1995,PXD026629,20180904YLJ-VSV4h-02.ipc,12773,211
1995,PXD026629,20180904YLJ-VSV4h-02.ipc,14542,350
2449,PXD026629,20180904YLJ-VSV4h-02.ipc,10111,99
2449,PXD026629,20180904YLJ-VSV4h-02.ipc,58242,9747
2449,PXD026629,20180904YLJ-VSV4h-02.ipc,66081,11351
2449,PXD026629,20180904YLJ-VSV4h-02.ipc,70825,12118
2449,PXD026629,20180904YLJ-VSV4h-02.ipc,78503,13743
3252,PXD026629,20180904YLJ-VSV4h-02.ipc,10229,103
3252,PXD026629,20180904YLJ-VSV4h-02.ipc,59004,9961
3252,PXD026629,20180904YLJ-VSV0h-03.ipc,56849,8855
3252,PXD026629,20180904YLJ-VSV0h-03.ipc,76272,13442
3252,PXD026629,20180831YLJ-H6h-01.ipc,57090,8343
